IndicatorCode,Indicator,ValueType,ParentLocationCode,ParentLocation,Location type,SpatialDimValueCode,Location,Period type,Period,IsLatestYear,Dim1 type,Dim1,Dim1ValueCode,Dim2 type,Dim2,Dim2ValueCode,Dim3 type,Dim3,Dim3ValueCode,DataSourceDimValueCode,DataSource,FactValueNumericPrefix,FactValueNumeric,FactValueUoM,FactValueNumericLowPrefix,FactValueNumericLow,FactValueNumericHighPrefix,FactValueNumericHigh,Value,FactValueTranslationID,FactComments,Language,DateModified
NCD_BMI_18C,"Prevalence of underweight among adults, BMI < 18 (crude estimate) (%)",numeric,WPR,Western Pacific,Country,AUS,Australia,Year,2022,true,Sex,Male,SEX_MLE,Age Group,18+  years,AGEGROUP_YEARS18-PLUS,,,,,,,1.16,,,0.65,,1.87,1.2 [0.6-1.9],,,EN,2024-02-29T06:00:00.000Z
NCD_BMI_18C,"Prevalence of underweight among adults, BMI < 18 (crude estimate) (%)",numeric,WPR,Western Pacific,Country,AUS,Australia,Year,2022,true,Sex,Both sexes,SEX_BTSX,Age Group,18+  years,AGEGROUP_YEARS18-PLUS,,,,,,,1.56,,,1.1,,2.13,1.6 [1.1-2.1],,,EN,2024-02-29T06:00:00.000Z
NCD_BMI_18C,"Prevalence of underweight among adults, BMI < 18 (crude estimate) (%)",numeric,WPR,Western Pacific,Country,AUS,Australia,Year,2022,true,Sex,Female,SEX_FMLE,Age Group,18+  years,AGEGROUP_YEARS18-PLUS,,,,,,,1.96,,,1.25,,2.83,2.0 [1.2-2.8],,,EN,2024-02-29T06:00:00.000Z
NCD_BMI_18C,"Prevalence of underweight among adults, BMI < 18 (crude estimate) (%)",numeric,WPR,Western Pacific,Country,CHN,China,Year,2022,true,Sex,Male,SEX_MLE,Age Group,18+  years,AGEGROUP_YEARS18-PLUS,,,,,,,2.89,,,1.96,,4.03,2.9 [2.0-4.0],,,EN,2024-02-29T06:00:00.000Z
NCD_BMI_18C,"Prevalence of underweight among adults, BMI < 18 (crude estimate) (%)",numeric,WPR,Western Pacific,Country,CHN,China,Year,2022,true,Sex,Both sexes,SEX_BTSX,Age Group,18+  years,AGEGROUP_YEARS18-PLUS,,,,,,,4.09,,,3.32,,4.96,4.1 [3.3-5.0],,,EN,2024-02-29T06:00:00.000Z
NCD_BMI_18C,"Prevalence of underweight among adults, BMI < 18 (crude estimate) (%)",numeric,WPR,Western Pacific,Country,CHN,China,Year,2022,true,Sex,Female,SEX_FMLE,Age Group,18+  years,AGEGROUP_YEARS18-PLUS,,,,,,,5.31,,,4.1,,6.69,5.3 [4.1-6.7],,,EN,2024-02-29T06:00:00.000Z
NCD_BMI_18C,"Prevalence of underweight among adults, BMI < 18 (crude estimate) (%)",numeric,WPR,Western Pacific,Country,AUS,Australia,Year,2021,false,Sex,Male,SEX_MLE,Age Group,18+  years,AGEGROUP_YEARS18-PLUS,,,,,,,1.12,,,0.67,,1.74,1.1 [0.7-1.7],,,EN,2024-02-29T06:00:00.000Z
NCD_BMI_18C,"Prevalence of underweight among adults, BMI < 18 (crude estimate) (%)",numeric,WPR,Western Pacific,Country,AUS,Australia,Year,2021,false,Sex,Both sexes,SEX_BTSX,Age Group,18+  years,AGEGROUP_YEARS18-PLUS,,,,,,,1.55,,,1.14,,2.04,1.5 [1.1-2.0],,,EN,2024-02-29T06:00:00.000Z
NCD_BMI_18C,"Prevalence of underweight among adults, BMI < 18 (crude estimate) (%)",numeric,WPR,Western Pacific,Country,AUS,Australia,Year,2021,false,Sex,Female,SEX_FMLE,Age Group,18+  years,AGEGROUP_YEARS18-PLUS,,,,,,,1.96,,,1.32,,2.73,2.0 [1.3-2.7],,,EN,2024-02-29T06:00:00.000Z
NCD_BMI_18C,"Prevalence of underweight among adults, BMI < 18 (crude estimate) (%)",numeric,WPR,Western Pacific,Country,CHN,China,Year,2021,false,Sex,Male,SEX_MLE,Age Group,18+  years,AGEGROUP_YEARS18-PLUS,,,,,,,3.05,,,2.18,,4.07,3.0 [2.2-4.1],,,EN,2024-02-29T06:00:00.000Z
NCD_BMI_18C,"Prevalence of underweight among adults, BMI < 18 (crude estimate) (%)",numeric,WPR,Western Pacific,Country,CHN,China,Year,2021,false,Sex,Both sexes,SEX_BTSX,Age Group,18+  years,AGEGROUP_YEARS18-PLUS,,,,,,,4.26,,,3.55,,5.03,4.3 [3.5-5.0],,,EN,2024-02-29T06:00:00.000Z
NCD_BMI_18C,"Prevalence of underweight among adults, BMI < 18 (crude estimate) (%)",numeric,WPR,Western Pacific,Country,CHN,China,Year,2021,false,Sex,Female,SEX_FMLE,Age Group,18+  years,AGEGROUP_YEARS18-PLUS,,,,,,,5.48,,,4.39,,6.71,5.5 [4.4-6.7],,,EN,2024-02-29T06:00:00.000Z
NCD_BMI_18C,"Prevalence of underweight among adults, BMI < 18 (crude estimate) (%)",numeric,WPR,Western Pacific,Country,AUS,Australia,Year,2020,false,Sex,Male,SEX_MLE,Age Group,18+  years,AGEGROUP_YEARS18-PLUS,,,,,,,1.09,,,0.69,,1.64,1.1 [0.7-1.6],,,EN,2024-02-29T06:00:00.000Z
NCD_BMI_18C,"Prevalence of underweight among adults, BMI < 18 (crude estimate) (%)",numeric,WPR,Western Pacific,Country,AUS,Australia,Year,2020,false,Sex,Both sexes,SEX_BTSX,Age Group,18+  years,AGEGROUP_YEARS18-PLUS,,,,,,,1.54,,,1.17,,1.97,1.5 [1.2-2.0],,,EN,2024-02-29T06:00:00.000Z
NCD_BMI_18C,"Prevalence of underweight among adults, BMI < 18 (crude estimate) (%)",numeric,WPR,Western Pacific,Country,AUS,Australia,Year,2020,false,Sex,Female,SEX_FMLE,Age Group,18+  years,AGEGROUP_YEARS18-PLUS,,,,,,,1.96,,,1.37,,2.66,2.0 [1.4-2.7],,,EN,2024-02-29T06:00:00.000Z
NCD_BMI_18C,"Prevalence of underweight among adults, BMI < 18 (crude estimate) (%)",numeric,WPR,Western Pacific,Country,CHN,China,Year,2020,false,Sex,Male,SEX_MLE,Age Group,18+  years,AGEGROUP_YEARS18-PLUS,,,,,,,3.22,,,2.44,,4.13,3.2 [2.4-4.1],,,EN,2024-02-29T06:00:00.000Z
NCD_BMI_18C,"Prevalence of underweight among adults, BMI < 18 (crude estimate) (%)",numeric,WPR,Western Pacific,Country,CHN,China,Year,2020,false,Sex,Both sexes,SEX_BTSX,Age Group,18+  years,AGEGROUP_YEARS18-PLUS,,,,,,,4.43,,,3.8,,5.12,4.4 [3.8-5.1],,,EN,2024-02-29T06:00:00.000Z
NCD_BMI_18C,"Prevalence of underweight among adults, BMI < 18 (crude estimate) (%)",numeric,WPR,Western Pacific,Country,CHN,China,Year,2020,false,Sex,Female,SEX_FMLE,Age Group,18+  years,AGEGROUP_YEARS18-PLUS,,,,,,,5.67,,,4.7,,6.75,5.7 [4.7-6.8],,,EN,2024-02-29T06:00:00.000Z
NCD_BMI_18C,"Prevalence of underweight among adults, BMI < 18 (crude estimate) (%)",numeric,WPR,Western Pacific,Country,AUS,Australia,Year,2019,false,Sex,Male,SEX_MLE,Age Group,18+  years,AGEGROUP_YEARS18-PLUS,,,,,,,1.07,,,0.71,,1.53,1.1 [0.7-1.5],,,EN,2024-02-29T06:00:00.000Z
