DISCLAIMER AND TERMS OF USE: HISTORICAL DATA IS PROVIDED "AS IS" AND SOLELY
FOR INFORMATIONAL PURPOSES - NOT FOR TRADING PURPOSES OR ADVICE.
NEITHER MACROTRENDS LLC NOR ANY OF OUR INFORMATION PROVIDERS WILL BE LIABLE
FOR ANY DAMAGES RELATING TO YOUR USE OF THE DATA PROVIDED.

ATTRIBUTION: Proper attribution requires clear indication of the data source as "www.macrotrends.net".
A "dofollow" backlink to the originating page is also required if the data is displayed on a web page.

Date, GDP (Billions of US $), Per Capita (US $), Annual % Change
1960-12-31,18.60656297705,1810.5974,
1961-12-31,19.682883149261,1877.6002,2.4826
1962-12-31,19.92256318761,1854.6419,1.2943
1963-12-31,21.539843446375,1967.109,6.2164
1964-12-31,23.80112380818,2131.3803,6.9804
1965-12-31,25.976164156186,2281.012,5.9804
1966-12-31,27.307844369255,2343.8198,2.3788
1967-12-31,30.442724870836,2580.1106,6.3051
1968-12-31,32.714085234254,2724.1307,5.0938
1969-12-31,36.683365869339,2991.3859,7.0452
1970-12-31,41.333606613377,3304.8378,7.1758
1971-12-31,45.216647234664,3495.1416,4.0006
1972-12-31,52.040887850467,3949.373,3.9103
1973-12-31,63.830877642537,4770.6187,2.6193
1974-12-31,88.963890935888,6482.8311,4.1073
1975-12-31,97.303017888843,7003.7442,1.3364
1976-12-31,105.05935649443,7486.5928,2.5888
1977-12-31,110.34985088323,7775.4968,3.5952
1978-12-31,118.49163346973,8252.6559,0.8934
1979-12-31,134.89833011473,9294.3592,4.0504
1980-12-31,149.98551532033,10208.652,3.0357
1981-12-31,176.89306861721,11853.5138,3.3399
1982-12-31,194.0383978815,12778.9279,3.3252
1983-12-31,177.26541896189,11515.6229,-2.2245
1984-12-31,193.5189981634,12421.4739,4.5917
1985-12-31,180.63712950385,11441.1933,5.2785
1986-12-31,182.47551762731,11391.655,3.9657
1987-12-31,189.48716251985,11650.8012,2.5626
1988-12-31,236.15403868429,14284.5207,5.7539
1989-12-31,299.87183537604,17834.2106,3.8786
1990-12-31,311.42050906763,18248.9407,3.5791
1991-12-31,325.96668605258,18859.408,-0.3819
1992-12-31,325.51845807653,18623.7917,0.4277
1993-12-31,312.12830241709,17699.5577,4.0452
1994-12-31,322.80249048772,18129.4022,3.9797
1995-12-31,368.16602316602,20448.122,3.8832
1996-12-31,401.34188062073,22021.7839,3.8639
1997-12-31,435.64261129659,23646.623,3.9132
1998-12-31,399.67442175948,21479.1142,4.6633
1999-12-31,389.65221205665,20712.6698,5.0276
2000-12-31,416.16781509291,21870.416,3.9215
2001-12-31,379.62930167511,19695.7297,2.0251
2002-12-31,395.78869601206,20301.8432,3.9796
2003-12-31,467.73907979033,23718.1339,3.0907
2004-12-31,614.65998008252,30836.7307,4.2243
2005-12-31,695.69289867656,34479.7679,3.1541
2006-12-31,748.41756276964,36595.7072,2.7553
2007-12-31,855.00745858522,41051.6121,3.7734
2008-12-31,1056.1124271904,49701.2818,3.5862
2009-12-31,928.76212269805,42816.5674,1.8926
2010-12-31,1148.8902002924,52147.0242,2.2265
2011-12-31,1398.7013230296,62609.6607,2.409
2012-12-31,1547.6498357329,68078.0442,3.9184
2013-12-31,1577.3018402,68198.4193,2.6062
2014-12-31,1468.5976900062,62558.2439,2.6074
2015-12-31,1351.7689451391,56758.8692,2.2018
2016-12-31,1207.5809015787,49918.7939,2.7791
2017-12-31,1326.882104817,53954.5535,2.3187
2018-12-31,1429.7336681859,57273.5205,2.9064
2019-12-31,1394.6713259606,55049.5719,2.1811
2020-12-31,1330.3815449093,51868.2476,-0.3347
2021-12-31,1559.0337562851,60697.2454,2.1118
2022-12-31,1692.9566468557,65077.6767,4.2689
2023-12-31,1723.8272153347,64711.7656,3.017
