DISCLAIMER AND TERMS OF USE: HISTORICAL DATA IS PROVIDED "AS IS" AND SOLELY
FOR INFORMATIONAL PURPOSES - NOT FOR TRADING PURPOSES OR ADVICE.
NEITHER MACROTRENDS LLC NOR ANY OF OUR INFORMATION PROVIDERS WILL BE LIABLE
FOR ANY DAMAGES RELATING TO YOUR USE OF THE DATA PROVIDED.

ATTRIBUTION: Proper attribution requires clear indication of the data source as "www.macrotrends.net".
A "dofollow" backlink to the originating page is also required if the data is displayed on a web page.

Date, GDP (Billions of US $), Per Capita (US $), Annual % Change
1960-12-31,40.56376894695,2264.9485,
1961-12-31,41.038192837904,2246.0836,3.1633
1962-12-31,42.336211555827,2274.4285,7.4278
1963-12-31,45.140337826987,2380.3173,5.2974
1964-12-31,49.503663836366,2561.6385,6.656
1965-12-31,54.649410478523,2777.1832,6.3172
1966-12-31,61.252415404686,3055.2881,6.7597
1967-12-31,65.856924423972,3226.3827,3.0654
1968-12-31,72.04883300616,3473.2372,5.0083
1969-12-31,79.405011124821,3776.1561,5.067
1970-12-31,88.192257632309,4135.8215,2.9187
1971-12-31,99.606454743514,4535.3934,4.0188
1972-12-31,113.46384887362,5106.7371,5.5197
1973-12-31,131.76434356564,5858.3341,6.7286
1974-12-31,160.94918813906,7056.7085,3.3578
1975-12-31,174.41975717656,7536.5201,1.5454
1976-12-31,207.27161257606,8838.9471,5.8893
1977-12-31,212.32517630465,8949.1099,3.5348
1978-12-31,219.36954238625,9154.4333,3.736
1979-12-31,243.89112429572,10077.5027,3.7252
1980-12-31,274.77656602805,11208.2027,2.1772
1981-12-31,307.24664275586,12379.0369,3.4151
1982-12-31,314.64780740861,12527.3135,-3.1662
1983-12-31,341.86627718273,13477.1032,2.5623
1984-12-31,356.71840012354,13930.4746,5.8986
1985-12-31,366.18601244965,14170.1249,4.7377
1986-12-31,379.00683699172,14521.1801,2.1215
1987-12-31,433.13423831071,16377.6902,4.072
1988-12-31,509.38002762655,19012.5723,4.4108
1989-12-31,567.21199324324,20794.6822,2.3373
1990-12-31,596.07559136099,21525.8611,0.2029
1991-12-31,612.52771231561,21846.793,-2.0911
1992-12-31,594.38735831886,20950.3305,0.8905
1993-12-31,579.0535617394,20186.7989,2.6577
1994-12-31,579.94434680726,19997.6237,4.494
1995-12-31,605.96109006121,20679.6348,2.6823
1996-12-31,630.60799413275,21296.9724,1.689
1997-12-31,654.98699985555,21901.5629,4.2802
1998-12-31,634,21024.5851,3.8929
1999-12-31,678.41219627112,22315.2467,5.141
2000-12-31,744.77341593159,24271.0021,5.1385
2001-12-31,738.98179235537,23822.0962,1.8751
2002-12-31,760.64933409801,24256.0192,2.9993
2003-12-31,895.54064663479,28301.8646,1.8064
2004-12-31,1026.6902382783,32145.5413,3.0924
2005-12-31,1173.1085987787,36383.66,3.2105
2006-12-31,1319.264809591,40504.0371,2.6379
2007-12-31,1468.8204077833,44660.0839,2.0499
2008-12-31,1552.9896907216,46710.2527,0.9954
2009-12-31,1374.6251421573,40874.8832,-2.9151
2010-12-31,1617.3433674863,47560.6666,3.0908
2011-12-31,1793.3266301745,52223.8588,3.1372
2012-12-31,1828.3664815216,52670.3447,1.7557
2013-12-31,1846.597421835,52638.1187,2.3258
2014-12-31,1805.7498784399,50960.8431,2.8735
2015-12-31,1556.5088162171,43594.1941,0.65
2016-12-31,1527.9947419074,42314.0616,1.0386
2017-12-31,1649.2656442441,45129.6281,3.0338
2018-12-31,1725.329192783,46539.1762,2.743
2019-12-31,1743.7251836725,46352.8693,1.9084
2020-12-31,1655.6847300002,43537.8393,-5.0382
2021-12-31,2007.4721814641,52496.8442,5.287
2022-12-31,2161.483369422,55509.3932,3.8199
2023-12-31,2140.0855677915,53371.6974,1.066
