DISCLAIMER AND TERMS OF USE: HISTORICAL DATA IS PROVIDED "AS IS" AND SOLELY
FOR INFORMATIONAL PURPOSES - NOT FOR TRADING PURPOSES OR ADVICE.
NEITHER MACROTRENDS LLC NOR ANY OF OUR INFORMATION PROVIDERS WILL BE LIABLE
FOR ANY DAMAGES RELATING TO YOUR USE OF THE DATA PROVIDED.

ATTRIBUTION: Proper attribution requires clear indication of the data source as "www.macrotrends.net".
A "dofollow" backlink to the originating page is also required if the data is displayed on a web page.

Date, GDP (Billions of US $), Per Capita (US $), Annual % Change
1960-12-31,59.716249310974,89.5202,
1961-12-31,50.056685957359,75.8056,-27.27
1962-12-31,47.209186415355,70.9092,-5.58
1963-12-31,50.706614526147,74.3134,10.3
1964-12-31,59.708125203864,85.4982,18.18
1965-12-31,70.436008642425,98.4864,16.95
1966-12-31,76.720005491896,104.3242,10.65
1967-12-31,72.881364882491,96.5892,-5.77
1968-12-31,70.846276051473,91.4724,-4.1
1969-12-31,79.705614854767,100.1295,16.94
1970-12-31,92.602634891659,113.1626,19.3
1971-12-31,99.800593790989,118.6541,7.06
1972-12-31,113.68930802034,131.8856,3.81
1973-12-31,138.54317045806,157.0891,7.76
1974-12-31,144.18897082107,160.1477,2.31
1975-12-31,163.42953065964,178.3396,8.72
1976-12-31,153.93926594777,165.4043,-1.57
1977-12-31,174.93593307866,185.4205,7.57
1978-12-31,149.54075282927,156.3964,11.326
1979-12-31,178.28059441304,183.9832,7.5913
1980-12-31,191.149211575,194.8047,7.8341
1981-12-31,195.86638243254,197.0715,5.1128
1982-12-31,205.08969985878,203.3349,9.0171
1983-12-31,230.68674715326,225.4319,10.7702
1984-12-31,259.94651095714,250.714,15.1915
1985-12-31,309.48802813265,294.4588,13.4307
1986-12-31,300.75810010725,281.9281,8.95
1987-12-31,272.97297476457,251.812,11.6574
1988-12-31,312.35363120782,283.5377,11.2226
1989-12-31,347.76805131174,310.8819,4.2063
1990-12-31,360.85791256597,317.8847,3.9203
1991-12-31,383.37331808362,333.1421,9.2628
1992-12-31,426.91571271586,366.4607,14.2245
1993-12-31,444.73128243552,377.3898,13.8837
1994-12-31,564.32185452101,473.4899,13.0368
1995-12-31,734.48483457358,609.6043,10.954
1996-12-31,863.74931471854,709.4159,9.9226
1997-12-31,961.60198098462,781.7426,9.2368
1998-12-31,1029.0607476207,828.5947,7.846
1999-12-31,1094.0038749373,873.2923,7.6617
2000-12-31,1211.3316518661,959.3604,8.4901
2001-12-31,1339.4008971051,1053.1123,8.3357
2002-12-31,1470.5576547999,1148.5143,9.1336
2003-12-31,1660.2805438468,1288.6375,10.038
2004-12-31,1955.3467687214,1508.6679,10.1136
2005-12-31,2285.9611498798,1753.4142,11.3946
2006-12-31,2752.118657184,2099.2194,12.721
2007-12-31,3550.3278029984,2693.9587,14.2309
2008-12-31,4594.3367857377,3468.3271,9.6507
2009-12-31,5101.6911242852,3832.2275,9.3987
2010-12-31,6087.1917466795,4550.4739,10.6359
2011-12-31,7551.5457034408,5614.386,9.5508
2012-12-31,8532.1853816806,6300.5822,7.8637
2013-12-31,9570.4711118317,7020.3861,7.7662
2014-12-31,10475.624944355,7636.0743,7.4258
2015-12-31,11061.572618579,8016.4456,7.0413
2016-12-31,11233.313730349,8094.3902,6.8488
2017-12-31,12310.491333981,8817.0456,6.9472
2018-12-31,13894.907857881,9905.4064,6.7498
2019-12-31,14279.968506272,10143.8602,5.9505
2020-12-31,14687.744162801,10408.7196,2.2386
2021-12-31,17820.459508852,12617.5051,8.4485
2022-12-31,17881.783387001,12662.5832,2.9891
2023-12-31,17794.781986104,12614.061,5.2
