DISCLAIMER AND TERMS OF USE: HISTORICAL DATA IS PROVIDED "AS IS" AND SOLELY
FOR INFORMATIONAL PURPOSES - NOT FOR TRADING PURPOSES OR ADVICE.
NEITHER MACROTRENDS LLC NOR ANY OF OUR INFORMATION PROVIDERS WILL BE LIABLE
FOR ANY DAMAGES RELATING TO YOUR USE OF THE DATA PROVIDED.

ATTRIBUTION: Proper attribution requires clear indication of the data source as "www.macrotrends.net".
A "dofollow" backlink to the originating page is also required if the data is displayed on a web page.

Date, GDP (Billions of US $), Per Capita (US $), Annual % Change
1960-12-31,12.433394725216,408.2546,
1961-12-31,14.24830379324,463.5215,11.8387
1962-12-31,16.621504913392,535.7737,9.9534
1963-12-31,19.645746986098,627.7268,9.5965
1964-12-31,21.982577364733,695.4488,5.3085
1965-12-31,25.497831759492,797.947,6.2531
1966-12-31,29.580564480028,916.2837,7.2461
1967-12-31,32.594186212325,997.2842,4.3403
1968-12-31,32.417481064881,978.9916,6.597
1969-12-31,37.117200723947,1109.9292,8.907
1970-12-31,40.99299500832,1212.2893,4.245
1971-12-31,46.619420359281,1362.1655,4.6495
1972-12-31,59.132415221331,1708.8086,8.1497
1973-12-31,78.639525985151,2247.5534,7.7885
1974-12-31,97.274006345544,2749.9247,5.6188
1975-12-31,114.77704637681,3209.8374,0.5422
1976-12-31,118.50718477991,3279.3127,3.3038
1977-12-31,132.44927710843,3627.5907,2.8386
1978-12-31,160.5996875,4356.4392,1.463
1979-12-31,214.60195587506,5770.2146,0.0415
1980-12-31,232.76682292875,6208.578,2.2087
1981-12-31,202.80789151198,5371.1664,-0.1325
1982-12-31,195.99675450553,5159.7086,1.2465
1983-12-31,170.95118561485,4478.5003,1.7701
1984-12-31,172.10291037052,4489.9889,1.7847
1985-12-31,180.79346379648,4699.6558,2.3214
1986-12-31,251.32107520494,6513.5033,3.2533
1987-12-31,318.7479355882,8239.6138,5.5471
1988-12-31,376.16040994144,9703.1238,5.0943
1989-12-31,414.757056922,10681.9712,4.827
1990-12-31,536.55859125041,13804.8768,3.7814
1991-12-31,577.16617453963,14811.9028,2.546
1992-12-31,630.9160182025,16112.1889,0.9292
1993-12-31,525.07563603085,13339.9086,-1.0315
1994-12-31,530.56263445535,13415.287,2.3832
1995-12-31,614.60902054977,15471.9627,2.7575
1996-12-31,642.58899251281,16109.0844,2.6606
1997-12-31,590.07727272727,14730.7972,3.7025
1998-12-31,619.2148346141,15394.3515,4.3931
1999-12-31,634.9075428583,15720.6405,4.4906
2000-12-31,598.3633134949,14749.6874,5.2459
2001-12-31,627.8300294122,15369.0012,3.933
2002-12-31,708.75667708863,17106.6866,2.7309
2003-12-31,907.49152317412,21510.8362,2.9819
2004-12-31,1069.0556752738,24907.0009,3.1227
2005-12-31,1153.7158227175,26429.1509,3.6521
2006-12-31,1260.3989778318,28389.0786,4.1027
2007-12-31,1474.00257982,32591.3503,3.6047
2008-12-31,1631.8634935523,35510.7222,0.8871
2009-12-31,1491.4729237066,32169.5029,-3.7631
2010-12-31,1422.1081997833,30532.4805,0.1629
2011-12-31,1480.7104957101,31677.9003,-0.8144
2012-12-31,1324.750738725,28322.9466,-2.9589
2013-12-31,1355.5795359125,29077.1821,-1.4033
2014-12-31,1371.8205378886,29513.6512,1.3958
2015-12-31,1196.1569712797,25754.361,3.8385
2016-12-31,1233.5549670117,26537.1595,3.0378
2017-12-31,1313.2453301976,28185.3214,2.9758
2018-12-31,1421.702715218,30379.7211,2.2845
2019-12-31,1394.3200551294,29581.5186,1.984
2020-12-31,1278.1288678755,26984.2963,-11.1673
2021-12-31,1445.6516536046,30488.821,6.4032
2022-12-31,1417.8004662626,29674.5443,5.7706
2023-12-31,1580.6947125157,32676.9837,2.5033
