DISCLAIMER AND TERMS OF USE: HISTORICAL DATA IS PROVIDED "AS IS" AND SOLELY
FOR INFORMATIONAL PURPOSES - NOT FOR TRADING PURPOSES OR ADVICE.
NEITHER MACROTRENDS LLC NOR ANY OF OUR INFORMATION PROVIDERS WILL BE LIABLE
FOR ANY DAMAGES RELATING TO YOUR USE OF THE DATA PROVIDED.

ATTRIBUTION: Proper attribution requires clear indication of the data source as "www.macrotrends.net".
A "dofollow" backlink to the originating page is also required if the data is displayed on a web page.

Date, GDP (Billions of US $), Per Capita (US $), Annual % Change
1960-12-31,73.233967692103,1397.5948,
1961-12-31,77.741965703354,1472.3857,2.7013
1962-12-31,81.247564156825,1525.7759,1.0987
1963-12-31,86.561961812325,1613.4569,4.8595
1964-12-31,94.407558351162,1748.2881,5.5948
1965-12-31,101.82475507899,1873.5678,2.1303
1966-12-31,108.57275210205,1986.7472,1.5674
1967-12-31,113.11688821079,2058.7819,2.7757
1968-12-31,107.75991006789,1951.7586,5.4727
1969-12-31,116.46470280322,2100.6679,1.9391
1970-12-31,130.6719462443,2347.5443,2.7086
1971-12-31,148.11389632514,2649.8015,3.5047
1972-12-31,169.96503496504,3030.4325,4.3217
1973-12-31,192.53797158256,3426.2762,6.5238
1974-12-31,206.13136979897,3665.8628,-2.4844
1975-12-31,241.75663716814,4299.7456,-1.4736
1976-12-31,232.61455525606,4138.1678,2.9103
1977-12-31,263.06645735217,4681.4399,2.4578
1978-12-31,335.88302972196,5976.9382,4.2043
1979-12-31,438.99407030919,7804.7621,3.749
1980-12-31,564.94771089937,10032.0621,-2.0314
1981-12-31,540.76567524116,9599.3062,-0.7877
1982-12-31,515.04891684137,9146.0774,1.9949
1983-12-31,489.61800818554,8691.5188,4.2219
1984-12-31,461.48709763235,8179.1944,2.2691
1985-12-31,489.28516427105,8652.2165,4.1474
1986-12-31,601.45265318089,10611.1122,3.1503
1987-12-31,745.16260826933,13118.5865,5.3927
1988-12-31,910.1227321238,15987.1681,5.7324
1989-12-31,926.88481675393,16239.2822,2.5776
1990-12-31,1093.1693892046,19095.467,0.7338
1991-12-31,1142.7971781305,19900.7267,-1.1031
1992-12-31,1179.6595296595,20487.1708,0.4011
1993-12-31,1061.3887222555,18389.0196,2.4898
1994-12-31,1140.4897459443,19709.2381,3.846
1995-12-31,1344.2401767398,23168.953,2.5317
1996-12-31,1419.6458658346,24406.4003,2.582
1997-12-31,1560.911918795,26766.0056,4.9249
1998-12-31,1653.6949320967,28274.5045,3.4143
1999-12-31,1687.8304481475,28762.0914,3.0662
2000-12-31,1665.5348766833,28280.9268,4.3187
2001-12-31,1649.827263567,27906.5695,2.5787
2002-12-31,1785.7299160671,30077.7414,1.792
2003-12-31,2054.4228571429,34442.6875,3.1466
2004-12-31,2421.5250823874,40366.8887,2.4265
2005-12-31,2543.18,42104.7884,2.7388
2006-12-31,2708.4415823367,44512.459,2.3863
2007-12-31,3090.5102040816,50397.6855,2.6203
2008-12-31,2929.4117647059,47396.1202,-0.2257
2009-12-31,2412.8400062315,38744.1317,-4.615
2010-12-31,2485.4825961847,39598.9571,2.2387
2011-12-31,2663.8058348281,42109.6419,1.1451
2012-12-31,2707.0897266146,42497.3405,1.5129
2013-12-31,2784.8535025343,43426.2981,1.7923
2014-12-31,3064.7082479214,47439.6166,3.1958
2015-12-31,2927.9111409167,44964.3911,2.2203
2016-12-31,2689.1065668996,40985.2351,1.9211
2017-12-31,2680.1480523353,40572.1215,2.6551
2018-12-31,2871.3403475818,43203.8141,1.4038
2019-12-31,2851.4071649078,42662.5354,1.6416
2020-12-31,2697.8065922939,40217.009,-10.3599
2021-12-31,3141.5061566187,46869.7591,8.6749
2022-12-31,3088.839763445,45564.1569,4.3452
2023-12-31,3340.032380668,48866.604,0.104
